Location;Season;Sampling;Event number;Sample number;The number of sample;Image;FT-IR;Lost;Broken;diameter / mm;area / mm^2;estimated mass / µg;Color;Shape;Component;Remark;Product;Remark;Note
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;50;1;0509-0050.jpg;0509-0050-air-ATR.JDX;;;0,88;0,19;19,72;white;Fragment;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;51;1;0509-0051.jpg;0509-0051-air-ATR.JDX;;;1,26;0,41;-;multicolor;Fragment;others;similar to poly(vinyl stearate);;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;52;1;0509-0052.jpg;0509-0052-air-ATR.JDX;;;1,45;0,80;30,41;transparent;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;53;1;0509-0053.jpg;0509-0053-air-ATR.JDX;;;1,21;0,40;15,12;transparent;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;54;1;0509-0054.jpg;0509-0054-air-ATR.JDX;;;0,83;0,39;14,68;transparent;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;55;1;0509-0055.jpg;0509-0055-air-ATR.JDX;;;1,78;1,16;44,18;transparent;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;509;56;1;0509-0056.jpg;0509-0056-air-ATR.JDX;;;1,06;0,26;26,86;white;Fragment;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;2;1;0510-0002.jpg;0510-0002-air-ATR.JDX;;;12,66;29,84;1133,92;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;3;1;0510-0003.jpg;0510-0003-air-ATR.JDX;;;16,00;62,81;6362,62;transparent;Sheet;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;4;1;0510-0004.jpg;0510-0004-air-ATR.JDX;;;5,80;21,79;156,88;white;Fragment;PS;;Styrofoam;EPS;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;5;1;0510-0005.jpg;0510-0005-air-ATR.JDX;;;5,28;13,36;96,20;white;Fragment;PS;;Styrofoam;EPS;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;6;1;0510-0006.jpg;0510-0006-air-ATR.JDX;;?;2,44;1,54;28,14;white;Sheet;PS;;Styrofoam;PSP;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;7;1;0510-0007.jpg;0510-0007-air-ATR.JDX;;;2,15;2,04;37,42;white;Fragment;PS;;Styrofoam;PSP;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;8;1;0510-0008.jpg;0510-0008-air-ATR.JDX;;;17,61;6,78;407,02;white;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;9;1;0510-0009.jpg;0510-0009-air-ATR.JDX;;;4,45;1,13;67,83;white;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;10;1;0510-0010.jpg;0510-0010-air-ATR.JDX;;;3,89;1,72;103,37;white;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;11;1;0510-0011.jpg;0510-0011-air-ATR.JDX;;;8,27;4,96;297,82;white;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;12;1;0510-0012.jpg;0510-0012-air-ATR.JDX;;;2,92;0,67;40,22;green;Fiber;PP;;Artificial Turf;Extrude type;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;13;1;0510-0013.jpg;0510-0013-air-ATR.JDX;?;;0,65;0,23;30,45;transparent;Fragment;PS;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;14;1;0510-0014.jpg;0510-0014-air-ATR.JDX;;?;1,19;0,41;15,55;white;Sheet;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;15;1;0510-0015.jpg;0510-0015-air-ATR.JDX;;?;0,87;0,29;29,67;red;Fragment;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;17;1;0510-0017.jpg;0510-0017-air-ATR.JDX;;?;0,62;0,20;20,60;blue;Sheet;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;18;1;0510-0018.jpg;0510-0018-air-ATR.JDX;;;1,76;1,30;23,73;white;Sheet;PS;;Styrofoam;PSP;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;19;1;0510-0019.jpg;0510-0019-air-ATR.JDX;;?;1,30;0,39;89,08;green;Fragment;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;20;1;0510-0020.jpg;0510-0020-air-ATR.JDX;;;2,36;0,29;17,33;green;Fiber;PP;;Artificial Turf;Extrude type;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;21;1;0510-0021.jpg;0510-0021-air-ATR.JDX;;?;1,15;0,31;31,35;blue;Sheet;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;22;1;0510-0022.jpg;0510-0022-air-ATR.JDX;;;1,19;0,14;8,20;green;Fiber;PP;;Artificial Turf;Extrude type;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;23;1;0510-0023.jpg;0510-0023-air-ATR.JDX;;;1,27;0,73;-;white;Sheet;others;similar to poly(vinyl stearate);;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;24;1;0510-0024.jpg;0510-0024-air-ATR.JDX;;;0,85;0,43;-;white;Fragment;Not Plastic;inorganic substance;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;25;1;0510-0025.jpg;0510-0025-air-ATR.JDX;?;?;0,70;0,28;62,60;blue;Fragment;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;26;1;0510-0026.jpg;0510-0026-air-ATR.JDX;;?;3,66;2,22;224,97;transparent;Sheet;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;27;1;0510-0027.jpg;0510-0027-air-ATR.JDX;;;1,60;0,08;4,72;red;Fiber;PP;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;30;1;0510-0030.jpg;0510-0030-air-ATR.JDX;;;1,15;0,48;8,78;white;Fragment;PS;;Styrofoam;PSP;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;33;1;0510-0033.jpg;0510-0033-air-ATR.JDX;;;1,35;0,80;-;white;Sheet;others;similar to poly(vinyl stearate);;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;510;34;1;0510-0034.jpg;0510-0034-air-ATR.JDX;;;1,30;0,53;119,28;white;Fragment;PE;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;512;1;1;0512-0001.jpg;0512-0001-air-ATR.JDX;;;3,16;0,39;-;yellow;Fiber;Not Plastic;cellulose;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;512;3;1;0512-0003.jpg;0512-0003-air-ATR.JDX;;;0,44;0,06;7,94;transparent;Fragment;PS;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;512;4;1;0512-0004.jpg;0512-0004-air-ATR.JDX;;;0,90;0,26;-;transparent;Sheet;others;similar to poly(vinyl stearate);;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;512;5;1;0512-0005.jpg;0512-0005-air-ATR.JDX;;;1,50;0,44;56,20;white;Fiber;PET;;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;512;6;1;0512-0006.jpg;0512-0006-air-ATR.JDX;;;1,45;0,28;-;blue;Fiber;others;similar to polyvinylchloride;;;
Ubon Ratchathani;Dry Season;Accumulation Sampling;512;7;1;0512-0007.jpg;0512-0007-air-ATR.JDX;;;0,87;0,20;-;blue;Fragment;others;similar to polyvinylchloride;;;
